Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2024-08-14 15:32:04 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\Desktop\Jaime\2024-08-14_JGCLIO_SasaTmarTfin.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,2024-08-14_JGCLIO_SasaTmarTfin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-08-14 22:04:09 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,272313530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272313530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,HIGHSD,NOAMP,THOLDFAIL,CQCONF,EXPFAIL,mAMP
1,A1,FALSE,S1E6,Te_fin,STANDARD,VIC,NFQ-MGB,16.252,16.333,0.119,"1,000,000.00","1,000,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,13,Amp,,0.945,N,N,Y,N,N,AMP
1,A1,FALSE,S1E6,Te_mar,STANDARD,NED,NFQ-MGB,19.504,19.359,0.215,"1,000,000.00","1,000,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,17,Amp,,0.98,N,N,Y,N,N,AMP
1,A1,FALSE,S1E6,sasa,STANDARD,FAM,NFQ-MGB,14.373,14.628,0.256,"1,000,000.00","1,000,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,9,Amp,,0.981,N,N,N,N,N,AMP
2,A2,FALSE,S1E6,Te_fin,STANDARD,VIC,NFQ-MGB,16.47,16.333,0.119,"1,000,000.00","1,000,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,13,Amp,,0.966,N,N,Y,N,N,AMP
2,A2,FALSE,S1E6,Te_mar,STANDARD,NED,NFQ-MGB,19.461,19.359,0.215,"1,000,000.00","1,000,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,17,Amp,,0.989,N,N,Y,N,N,AMP
2,A2,FALSE,S1E6,sasa,STANDARD,FAM,NFQ-MGB,14.885,14.628,0.256,"1,000,000.00","1,000,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,9,Amp,,0.986,N,N,N,N,N,AMP
3,A3,FALSE,S1E6,Te_fin,STANDARD,VIC,NFQ-MGB,16.277,16.333,0.119,"1,000,000.00","1,000,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,13,Amp,,0.98,N,N,Y,N,N,AMP
3,A3,FALSE,S1E6,Te_mar,STANDARD,NED,NFQ-MGB,19.112,19.359,0.215,"1,000,000.00","1,000,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,16,Amp,,0.992,N,N,Y,N,N,AMP
3,A3,FALSE,S1E6,sasa,STANDARD,FAM,NFQ-MGB,14.625,14.628,0.256,"1,000,000.00","1,000,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,9,Amp,,0.979,N,N,N,N,N,AMP
4,A4,FALSE,S4.5E4,Te_fin,STANDARD,VIC,NFQ-MGB,21.004,21.099,0.1,"45,000.00","45,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,18,Amp,,0.942,N,N,Y,N,N,AMP
4,A4,FALSE,S4.5E4,Te_mar,STANDARD,NED,NFQ-MGB,23.192,23.144,1.525,"45,000.00","45,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,20,Amp,,0.983,Y,N,Y,N,N,AMP
4,A4,FALSE,S4.5E4,sasa,STANDARD,FAM,NFQ-MGB,18.577,18.607,0.031,"45,000.00","45,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,13,Amp,,0.977,N,N,N,N,N,AMP
5,A5,FALSE,S4.5E4,Te_fin,STANDARD,VIC,NFQ-MGB,21.091,21.099,0.1,"45,000.00","45,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,18,Amp,,0.935,N,N,Y,N,N,AMP
5,A5,FALSE,S4.5E4,Te_mar,STANDARD,NED,NFQ-MGB,21.596,23.144,1.525,"45,000.00","45,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,19,Amp,,0.992,Y,N,Y,N,N,AMP
5,A5,FALSE,S4.5E4,sasa,STANDARD,FAM,NFQ-MGB,18.639,18.607,0.031,"45,000.00","45,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,13,Amp,,0.993,N,N,N,N,N,AMP
6,A6,FALSE,S4.5E4,Te_fin,STANDARD,VIC,NFQ-MGB,21.203,21.099,0.1,"45,000.00","45,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,18,Amp,,0.947,N,N,Y,N,N,AMP
6,A6,FALSE,S4.5E4,Te_mar,STANDARD,NED,NFQ-MGB,24.644,23.144,1.525,"45,000.00","45,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,22,Amp,,0.991,Y,N,Y,N,N,AMP
6,A6,FALSE,S4.5E4,sasa,STANDARD,FAM,NFQ-MGB,18.604,18.607,0.031,"45,000.00","45,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,13,Amp,,0.985,N,N,N,N,N,AMP
7,A7,FALSE,S2E3,Te_fin,STANDARD,VIC,NFQ-MGB,27.684,27.391,1.296,"2,000.00","2,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,24,Amp,,0.749,Y,N,Y,Y,N,AMP
7,A7,FALSE,S2E3,Te_mar,STANDARD,NED,NFQ-MGB,31.257,30.778,0.416,"2,000.00","2,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,28,Amp,,0.983,N,N,Y,N,N,AMP
7,A7,FALSE,S2E3,sasa,STANDARD,FAM,NFQ-MGB,22.565,25.077,3.164,"2,000.00","2,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,17,Amp,,0.976,Y,N,N,N,N,AMP
8,A8,FALSE,S2E3,Te_fin,STANDARD,VIC,NFQ-MGB,25.973,27.391,1.296,"2,000.00","2,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,23,Amp,,0.946,Y,N,Y,N,N,AMP
8,A8,FALSE,S2E3,Te_mar,STANDARD,NED,NFQ-MGB,30.504,30.778,0.416,"2,000.00","2,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,27,Amp,,0.99,N,N,Y,N,N,AMP
8,A8,FALSE,S2E3,sasa,STANDARD,FAM,NFQ-MGB,28.63,25.077,3.164,"2,000.00","2,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,23,Amp,,0.985,Y,N,N,N,N,AMP
9,A9,FALSE,S2E3,Te_fin,STANDARD,VIC,NFQ-MGB,28.515,27.391,1.296,"2,000.00","2,000.00",,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,25,Amp,,0.81,Y,N,Y,N,N,AMP
9,A9,FALSE,S2E3,Te_mar,STANDARD,NED,NFQ-MGB,30.574,30.778,0.416,"2,000.00","2,000.00",,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,28,Amp,,0.991,N,N,Y,N,N,AMP
9,A9,FALSE,S2E3,sasa,STANDARD,FAM,NFQ-MGB,24.037,25.077,3.164,"2,000.00","2,000.00",,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,18,Amp,,0.981,Y,N,N,N,N,AMP
10,A10,FALSE,S1E2,Te_fin,STANDARD,VIC,NFQ-MGB,43.034,36.012,6.231,100,100,,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,36,No Amp,,0.112,Y,N,Y,Y,N,AMP
10,A10,FALSE,S1E2,Te_mar,STANDARD,NED,NFQ-MGB,Undetermined,37.955,0.364,100,,,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,44,No Amp,,0,N,Y,Y,Y,Y,NOAMP
10,A10,FALSE,S1E2,sasa,STANDARD,FAM,NFQ-MGB,36.877,34.225,2.966,100,100,,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,31,Amp,,0.932,Y,N,N,N,N,AMP
