Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2024-10-03 11:44:33 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\Desktop\Jaime\2024-10-01_JGCLIO_AscvCtv2Pather.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,2024-10-01_JGCLIO_AscvCtv2Pather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-10-01 20:16:06 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272313530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272313530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,THOLDFAIL,PRFDROP,HIGHSD,NOAMP,PRFLOW,NOISE
1,A1,FALSE,KN1922,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
1,A1,FALSE,KN1922,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
1,A1,FALSE,KN1922,pa_ther,UNKNOWN,NED,NFQ-MGB,31.517,33.471,2.254,385.167,197.666,176.883,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,27,Amp,,0.872,N,N,Y,N,Y,N,N,N
2,A2,FALSE,KN1922,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
2,A2,FALSE,KN1922,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
2,A2,FALSE,KN1922,pa_ther,UNKNOWN,NED,NFQ-MGB,35.937,33.471,2.254,33.772,197.666,176.883,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,32,Amp,,0.911,N,N,Y,N,Y,N,N,N
3,A3,FALSE,KN1922,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
3,A3,FALSE,KN1922,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
3,A3,FALSE,KN1922,pa_ther,UNKNOWN,NED,NFQ-MGB,32.959,33.471,2.254,174.060,197.666,176.883,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,29,Amp,,0.965,N,N,Y,N,Y,N,N,N
4,A4,FALSE,CL2037,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
4,A4,FALSE,CL2037,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
4,A4,FALSE,CL2037,pa_ther,UNKNOWN,NED,NFQ-MGB,32.537,31.815,1.272,219.637,390.163,297.967,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,30,Amp,,0.996,N,N,Y,N,Y,N,N,N
5,A5,FALSE,CL2037,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
5,A5,FALSE,CL2037,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
5,A5,FALSE,CL2037,pa_ther,UNKNOWN,NED,NFQ-MGB,30.345,31.815,1.272,734.221,390.163,297.967,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,27,Amp,,0.985,N,N,Y,N,Y,N,N,N
6,A6,FALSE,CL2037,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
6,A6,FALSE,CL2037,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,N,N,N
